,rmsd,pdb1,pdb2
51,0.377310307114563,1gfh,1gbz
52,0.3992421189957654,1gfh,1gft
53,0.34804362738466227,1gfj,1ouj
54,0.35297403997466387,1gfr,1gft
55,0.4007098303054252,1gft,1gb5
56,0.34249570197692913,1gft,1gb6
57,0.37072145865102274,1gft,1gb9
58,0.37109419152699813,1gft,1gbo
59,0.34502912505051886,1gft,1gbx
60,0.3992421189957646,1gft,1gfh
61,0.3529740399746624,1gft,1gfr
62,0.3477997487124158,1gft,1gfv
63,0.3428314562986204,1gft,1inu
64,0.5008000552434292,1gft,1lhh
65,0.4632336915901596,1gft,1lhi
66,0.45997503741790263,1gft,1lhj
67,0.49605227937504975,1gft,1lhk
68,0.4974775334297092,1gft,1lhl
69,0.47099700576522807,1gft,1oub
70,0.5044346476203136,1gft,1ouc
71,0.4894303213370077,1gft,1oud
72,0.510859507548724,1gft,1oue
73,0.46584375533186595,1gft,1ouh
74,0.49161987087846026,1gft,1oui
75,0.5232940738881676,1gft,1ouj
76,0.4644453541193026,1gft,1wqm
77,0.4784063040833591,1gft,1wqn
78,0.4966723786119542,1gft,1wqo
79,0.46092254158259066,1gft,1wqp
80,0.4922049121770386,1gft,1wqq
81,0.4732429579029214,1gft,1wqr
82,0.4885470572609093,1gft,1yam
83,0.4746523180779959,1gft,1yan
84,0.44366159453624177,1gft,1yao
85,0.46353973275842014,1gft,1yap
86,0.46169660712806715,1gft,1yaq
87,0.48682901074196533,1gft,2hea
88,0.45955986019658646,1gft,2heb
89,0.48796793885915585,1gft,2hec
90,0.41617325467388355,1gft,2hed
91,0.44410295485301726,1gft,2hee
92,0.46284318244692957,1gft,2hef
93,0.34655942694415526,1gfu,1gb5
94,0.35888216919824256,1gfu,1lhh
95,0.3596200872457547,1gfu,1lhk
96,0.3592096444199636,1gfu,1lhl
97,0.35662650713583155,1gfu,1ouc
98,0.3512827093913182,1gfu,1oud
99,0.37403754789212107,1gfu,1oue
100,0.34893091506529833,1gfu,1oui
101,0.38806487214857915,1gfu,1ouj
102,0.3564268556147207,1gfu,1wqo
103,0.3422875451372813,1gfu,1wqq
104,0.3504882934564578,1gfu,1yam
105,0.3707893256074896,1gfu,2hea
106,0.35281914361080247,1gfu,2hec
107,0.34779974871241637,1gfv,1gft
108,0.3428314562986217,1inu,1gft
109,0.37339665142712963,1lhh,1gb5
110,0.4853029142413305,1lhh,1gbz
111,0.5008000552434303,1lhh,1gft
112,0.35888216919824395,1lhh,1gfu
113,0.4450962852111848,1lhi,1gbz
114,0.46323369159016026,1lhi,1gft
115,0.44947039116608695,1lhj,1gbz
116,0.4599750374179024,1lhj,1gft
117,0.3426141612261843,1lhk,1gb5
