,rmsd,pdb1,pdb2
115,0.27376841796331003,1l02,1dyd
116,0.25327103677720597,1l02,1l20
117,0.2507072178867252,1l02,1l21
118,0.2657561844622978,1l02,1l24
119,0.26699651767159227,1l02,1l25
120,0.2542050188035189,1l02,1l26
121,0.26447697607533216,1l02,1l29
122,0.25761554700516764,1l02,1l30
123,0.2582931607447213,1l02,1l37
124,0.2568633105628661,1l02,1l38
125,0.2562835807153637,1l02,1l48
126,0.25273129486810425,1l02,1l60
127,0.39171187106557975,1l02,1l99
128,0.2629757156350546,1l03,1dya
129,0.2678923809849548,1l03,1dyd
130,0.2545371147045205,1l03,1l20
131,0.2523844853249837,1l03,1l21
132,0.27014756292555275,1l03,1l24
133,0.28437181461542604,1l03,1l25
134,0.2753733537762873,1l03,1l26
135,0.2755116110277477,1l03,1l29
136,0.2735550709303972,1l03,1l30
137,0.2640774302162314,1l03,1l37
138,0.2598370076964548,1l03,1l38
139,0.26639381359932046,1l03,1l48
140,0.25195838011445326,1l03,1l60
141,0.37224051297857025,1l03,1l99
142,0.25535900878006995,1l05,1l25
143,0.35147972695691243,1l05,1l99
144,0.27210944540561466,1l06,1dyg
145,0.2592155449195462,1l06,1l11
146,0.2509411045785651,1l06,1l19
147,0.2774814527305011,1l06,1l28
148,0.2554167443316499,1l06,1l31
149,0.2847056603766985,1l06,1l32
150,0.26346461816073474,1l06,1l46
151,0.25153340410724373,1l06,1l52
152,0.24810812569411317,1l06,1l69
153,0.2777119414683948,1l06,1l99
154,0.2710430264988724,1l07,1dyg
155,0.25357057877927436,1l07,1l11
156,0.2833063617257971,1l07,1l28
157,0.2507882493810355,1l07,1l31
158,0.2804863016212721,1l07,1l32
159,0.2636666754650332,1l07,1l46
160,0.2522700266731135,1l07,1l52
161,0.24860604339139325,1l07,1l69
162,0.27790075302721284,1l07,1l99
163,0.25085942770113745,1l08,1dya
164,0.26120406863706613,1l08,1dyd
165,0.2581643843007999,1l08,1l24
166,0.2746078378020544,1l08,1l25
167,0.26453609261355754,1l08,1l26
168,0.2650220162167185,1l08,1l29
169,0.2615507025942699,1l08,1l30
170,0.25206634990324955,1l08,1l37
171,0.25128333212996284,1l08,1l38
172,0.2526254664398,1l08,1l48
173,0.37577021296510277,1l08,1l99
174,0.2704513167585599,1l09,1dya
175,0.28002573405159664,1l09,1dyd
176,0.25957880045713716,1l09,1l20
177,0.25444919835909957,1l09,1l21
178,0.27816154735343834,1l09,1l24
179,0.27843380865691353,1l09,1l25
180,0.26407685880394055,1l09,1l26
181,0.27262044569990834,1l09,1l29
182,0.27000738768289645,1l09,1l30
183,0.26823968456597885,1l09,1l37
184,0.2601923505921128,1l09,1l38
185,0.26225811285036654,1l09,1l48
186,0.2517783784676717,1l09,1l56
187,0.25564291335934203,1l09,1l60
188,0.3656907181072483,1l09,1l99
189,0.2538256600959416,1l10,1dya
190,0.25083424392907006,1l10,1dyd
191,0.25253978550753275,1l10,1l24
192,0.2667853183742052,1l10,1l25
193,0.2559620157024468,1l10,1l26
194,0.2571821003466293,1l10,1l29
195,0.2553512943019684,1l10,1l30
196,0.2529726771839823,1l10,1l48
197,0.35834801712331993,1l10,1l99
198,0.28217116115434404,1l11,1dya
199,0.3032848894615023,1l11,1dyd
200,0.2592155449195454,1l11,1l06
201,0.2535705787792739,1l11,1l07
202,0.277481603790704,1l11,1l20
203,0.2727849257650381,1l11,1l21
204,0.2937545235095064,1l11,1l24
205,0.2962734001599418,1l11,1l25
206,0.27902368723029913,1l11,1l26
207,0.28580968744644064,1l11,1l29
208,0.2830560653201615,1l11,1l30
209,0.2636527940817015,1l11,1l34
210,0.28426995017075024,1l11,1l37
211,0.2847791141956788,1l11,1l38
212,0.2536068983217851,1l11,1l45
213,0.28266441067400955,1l11,1l48
214,0.27178792015986775,1l11,1l56
215,0.252883590922389,1l11,1l58
216,0.2788059162940986,1l11,1l60
217,0.40648510067623295,1l11,1l99
218,0.26756084813148756,1l12,1dya
219,0.2816973458232027,1l12,1dyd
220,0.25566397895485826,1l12,1l20
221,0.25219238562888424,1l12,1l21
222,0.27420323854126727,1l12,1l24
223,0.28100861693872553,1l12,1l25
224,0.2670238389879754,1l12,1l26
225,0.26958559266274323,1l12,1l29
226,0.2675000217351358,1l12,1l30
227,0.26312259074507727,1l12,1l37
228,0.26399823800942174,1l12,1l38
229,0.2674124027088938,1l12,1l48
230,0.25013151336706335,1l12,1l56
231,0.25842344154360286,1l12,1l60
232,0.38286413486140863,1l12,1l99
233,0.2501338568418356,1l13,1dya
234,0.26723437960789603,1l13,1dyd
235,0.24930227328991905,1l13,1l20
236,0.2631424961807155,1l13,1l24
237,0.2697611836239431,1l13,1l25
238,0.2576090584825147,1l13,1l26
239,0.2650219844675543,1l13,1l29
240,0.26030827912959864,1l13,1l30
241,0.2563898842566942,1l13,1l37
242,0.25244503885269004,1l13,1l38
243,0.2560462006032729,1l13,1l48
244,0.3777356946308998,1l13,1l99
245,0.2608494081687883,1l14,1dya
