,rmsd,pdb1,pdb2
140,0.278393512961633,1l53,1dyg
141,0.34215384765924794,1l53,1l02
142,0.305971086266457,1l53,1l03
143,0.3465998063457935,1l53,1l05
144,0.3671059293566575,1l53,1l06
145,0.3372511915927313,1l53,1l07
146,0.33453263463508787,1l53,1l08
147,0.31222485787561066,1l53,1l09
148,0.32896192341051356,1l53,1l10
149,0.29004337877637143,1l53,1l11
150,0.3232272002915257,1l53,1l12
151,0.33586066632491185,1l53,1l13
152,0.33384703831741336,1l53,1l14
153,0.3241359971661289,1l53,1l15
154,0.3445496499399588,1l53,1l16
155,0.29930803838913506,1l53,1l19
156,0.28711119797295764,1l53,1l20
157,0.31771192627946,1l53,1l21
158,0.28465506831639875,1l53,1l22
159,0.30521684699346024,1l53,1l23
160,0.2930245680091654,1l53,1l24
161,0.25362883849528156,1l53,1l25
162,0.30112022791401777,1l53,1l26
163,0.2955671322838746,1l53,1l27
164,0.2835455546815044,1l53,1l28
165,0.32489447119906295,1l53,1l29
166,0.2928172317019101,1l53,1l30
167,0.3204870840292251,1l53,1l31
168,0.2904635260131728,1l53,1l32
169,0.32907126619198,1l53,1l33
170,0.33807909118603613,1l53,1l34
171,0.28733007983067127,1l53,1l37
172,0.2746069052248636,1l53,1l38
173,0.28621903998039205,1l53,1l44
174,0.26638812608063134,1l53,1l46
175,0.3145677419792842,1l53,1l47
176,0.27333726719595797,1l53,1l48
177,0.28515653281041,1l53,1l52
178,0.3223569047337886,1l53,1l57
179,0.2662273243760703,1l53,1l58
180,0.40225855221994383,1l53,1l60
181,0.26699671514114776,1l53,1l69
182,0.32235690473377904,1l57,1l53
183,0.30251930649142744,1l57,1l99
184,0.2662273243760804,1l58,1l53
185,0.2593156263504947,1l58,1l99
186,0.2561047360500017,1l60,1dya
187,0.2649643259117204,1l60,1dyd
188,0.33196887352012006,1l60,1l00
189,0.2673454188551309,1l60,1l25
190,0.2576195642089646,1l60,1l31
191,0.2748774245262181,1l60,1l48
192,0.40225855221995,1l60,1l53
193,0.3337627266961366,1l60,1l98
194,0.3759676088519412,1l60,1l99
195,0.26699671514114465,1l69,1l53
196,0.2779196263234754,1l98,1l02
197,0.2814050472943622,1l98,1l05
198,0.29873803140868255,1l98,1l06
199,0.27383955474347416,1l98,1l07
200,0.2725451138647613,1l98,1l08
201,0.25768851943553067,1l98,1l09
202,0.2680226228601442,1l98,1l10
203,0.26040625549795227,1l98,1l12
204,0.2734260135618958,1l98,1l13
205,0.2710249188908209,1l98,1l14
206,0.26146602339975666,1l98,1l15
207,0.29818989915117167,1l98,1l16
208,0.2709489166073414,1l98,1l29
209,0.2692082171143833,1l98,1l31
210,0.25288338763648177,1l98,1l33
211,0.27247306464055365,1l98,1l34
212,0.3337627266961343,1l98,1l60
213,0.2796316133055443,1l99,1dyc
214,0.32382557042095533,1l99,1l02
215,0.29489972037495343,1l99,1l03
216,0.3310478496032467,1l99,1l05
217,0.3501804286990141,1l99,1l06
218,0.32199351816393573,1l99,1l07
219,0.3195417928667195,1l99,1l08
220,0.30334639344887454,1l99,1l09
221,0.319548745472052,1l99,1l10
222,0.2854397891448245,1l99,1l11
223,0.31155531758116145,1l99,1l12
224,0.3222887210053165,1l99,1l13
225,0.3201430028241309,1l99,1l14
226,0.31404043648390806,1l99,1l15
227,0.32254891022745275,1l99,1l16
228,0.28088053719487194,1l99,1l19
229,0.2797260447939099,1l99,1l20
230,0.3064792005656791,1l99,1l21
231,0.26481973510316426,1l99,1l22
232,0.29280546261514573,1l99,1l23
233,0.28088815623042285,1l99,1l24
234,0.2701820672221534,1l99,1l25
235,0.2989100516553523,1l99,1l26
236,0.29283595125916667,1l99,1l27
237,0.27882503618831006,1l99,1l28
238,0.3168476236477889,1l99,1l29
239,0.2913580901248558,1l99,1l30
240,0.31538184971877176,1l99,1l31
241,0.2949766931825687,1l99,1l32
242,0.30730151856685006,1l99,1l33
243,0.31449077388724067,1l99,1l34
244,0.2679911393281864,1l99,1l37
245,0.26195238186758313,1l99,1l38
246,0.2691783347860304,1l99,1l44
247,0.25350352104154283,1l99,1l46
248,0.2912111984716529,1l99,1l47
249,0.2655845230324983,1l99,1l48
250,0.2726744418294152,1l99,1l52
251,0.3025193064914266,1l99,1l57
252,0.2593156263504954,1l99,1l58
253,0.3759676088519399,1l99,1l60
